budget,revenue,popularity,vote_average,runtime,original_language,imdb_rating,year,month,season,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,director_is_top,actor_is_top,roi,hit
4000000.0,4257354.0,4.0661,5.9,98.0,en,6.7,1995,12,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643385,0
21000000.0,12136938.0,2.1596,6.5,109.0,en,6.6,1993,10,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.42205057142857144,0
839727.0,23218000.0,7.9288,7.977,119.0,en,8.2,1941,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.649462265712547,1
12500000.0,40061153.0,3.4416,7.846,140.0,en,7.9,2000,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20489224,1
5300000.0,1350322.0,5.2261,8.089,148.0,de,8.2,1927,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.7452222641509434,0
2500000.0,12300000.0,1.5464,6.1,106.0,en,7.4,2003,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.92,0
1000000.0,1574623.0,13.2855,5.5,70.0,en,4.7,2004,7,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.574623,0
20000000.0,72258126.0,21.2583,8.1,108.0,en,8.3,2004,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.6129063,1
2000000.0,20908467.0,4.5841,7.6,154.0,es,8.0,2000,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.4542335,1
32000000.0,61477797.0,14.5588,7.165,96.0,en,7.4,2005,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.92118115625,1
12000000.0,71923560.0,16.6237,8.052,149.0,en,8.3,1968,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4.99363,1
6500000.0,64826117.0,3.099,7.57,112.0,es,7.9,2002,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8.97324876923077,1
50000000.0,50100000.0,3.4877,6.7,121.0,en,6.7,1997,2,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.002,1
2000000.0,3395627.0,1.6728,6.9,90.0,fr,7.4,2005,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6978135,0
15000000.0,9953708.0,4.8325,7.7,143.0,en,7.8,1985,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.33641946666666667,0
20000000.0,23900000.0,11.9278,8.327,119.0,en,8.5,1998,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,1
2500000.0,5987386.0,7.8721,8.0,101.0,en,8.1,1995,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.3949544,0
9000000.0,40060108.0,13.3428,8.177,113.0,en,8.4,2000,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3.451123111111111,1
28000000.0,41722424.0,13.498,7.9,118.0,en,8.1,1982,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.4900865714285714,1
2700000.0,15992615.0,5.3534,7.8,80.0,en,8.1,2004,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.923190740740741,0
1000000.0,9016411.0,6.6691,7.9,117.0,ja,8.0,1984,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.016411,0
120000.0,54683487.0,2.0018,5.6,80.0,en,5.8,2004,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,454.695725,1
17000000.0,33002371.0,5.233,6.637,96.0,en,6.7,1982,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9413159411764705,1
5000000.0,67958231.0,4.0758,7.6,101.0,es,7.8,1999,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.5916462,1
1350000.0,28356188.0,5.1687,8.095,105.0,en,8.1,1998,8,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.004583703703705,1
16000000.0,45284974.0,18.2514,8.295,111.0,fr,8.5,1994,9,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.830310875,1
1900000.0,28579636.0,14.409,8.1,114.0,en,8.2,1976,2,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.041913684210526,1
1530000.0,7660911.0,3.9135,7.299,80.0,de,7.6,1998,8,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.007131372549019,0
1000000.0,16350876.0,1.0969,6.4,118.0,da,7.0,2000,12,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.350876,1
15000000.0,47010480.0,10.8195,7.839,117.0,en,8.1,1998,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.134032,1
25000000.0,76270454.0,5.4812,7.8,119.0,en,7.8,1987,6,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2.05081816,1
4000000.0,30477175.0,3.0394,6.6,132.0,en,6.2,1978,11,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.61929375,1
26000000.0,71877090.0,4.9326,7.327,107.0,en,7.7,2000,8,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7645034615384616,1
14600000.0,71108778.0,7.8786,7.628,101.0,en,8.0,1993,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.8704642465753425,1
355000.0,700000.0,3.7822,7.2,74.0,en,7.3,1931,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.971830985915493,0
5000000.0,40266982.0,3.3507,7.4,105.0,es,7.4,2004,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0533964,1
4500000.0,7500000.0,8.8386,7.8,114.0,en,8.0,2001,1,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6666666666666666,0
1448864.0,3270000.0,5.4768,7.7,133.0,en,8.1,1930,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.256940610022749,0
2500000.0,3548590.0,3.2406,7.8,128.0,de,7.9,1987,9,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.419436,0
5700000.0,49000000.0,9.2395,7.9,124.0,ja,8.0,1988,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.5964912280701755,1
2500000.0,9500000.0,6.8062,7.624,115.0,en,7.5,1961,10,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.8,0
48000000.0,50315140.0,5.1782,7.2,120.0,en,7.4,2001,10,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.048232083333333335,1
35000000.0,57120318.0,9.5963,6.303,108.0,en,6.3,1990,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.6320090857142857,1
33000000.0,63000000.0,1.9856,5.7,106.0,en,5.5,1989,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9090909090909091,1
5000000.0,28200000.0,5.2104,7.1,127.0,en,7.2,1954,12,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.64,1
24000000.0,41895491.0,3.3864,7.316,138.0,en,7.5,1991,9,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7456454583333333,1
